"","q4.sol.duals","q4.sol.duals.from","q4.sol.duals.to"
"191",0,-1e+30,1e+30
"192",0,-1e+30,1e+30
"193",0,-1e+30,1e+30
"194",0,-1e+30,1e+30
"195",0,-1e+30,1e+30
"196",0,-1e+30,1e+30
"197",0,-1e+30,1e+30
"198",0,-1e+30,1e+30
"199",0,-1e+30,1e+30
"200",0,-1e+30,1e+30
"201",0,-1e+30,1e+30
"202",0,-1e+30,1e+30
"203",0,-1e+30,1e+30
"204",0,-1e+30,1e+30
"205",0,-1e+30,1e+30
"206",0,-1e+30,1e+30
"207",0,-1e+30,1e+30
"208",0,-1e+30,1e+30
"209",0,-1e+30,1e+30
"210",0,-1e+30,1e+30
"211",0,-1e+30,1e+30
"212",0,-1e+30,1e+30
"213",0,-1e+30,1e+30
"214",0,-1e+30,1e+30
"215",0,-1e+30,1e+30
"216",0,-1e+30,1e+30
"217",0,-1e+30,1e+30
"218",0,-1e+30,1e+30
"219",0,-1e+30,1e+30
"220",0,-1e+30,1e+30
"221",0,-1e+30,1e+30
"222",0,-1e+30,1e+30
"223",0,-1e+30,1e+30
"224",0,-1e+30,1e+30
"225",0,-1e+30,1e+30
"226",0,-1e+30,1e+30
"227",0,-1e+30,1e+30
"228",0,-1e+30,1e+30
"229",0,-1e+30,1e+30
"230",0,-1e+30,1e+30
"231",0,-1e+30,1e+30
"232",0,-1e+30,1e+30
"233",0,-1e+30,1e+30
"234",0,-1e+30,1e+30
"235",0,-1e+30,1e+30
"236",0,-1e+30,1e+30
"237",0,-1e+30,1e+30
"238",0,-1e+30,1e+30
"239",0,-1e+30,1e+30
"240",0,-1e+30,1e+30
"241",0,-1e+30,1e+30
"242",0,-1e+30,1e+30
"243",0,-1e+30,1e+30
"244",0,-1e+30,1e+30
"245",0,-1e+30,1e+30
"246",0,-1e+30,1e+30
"247",0,-1e+30,1e+30
"248",0,-1e+30,1e+30
"249",0,-1e+30,1e+30
"250",0,-1e+30,1e+30
"251",0,-1e+30,1e+30
"252",0,-1e+30,1e+30
"253",0,-1e+30,1e+30
"254",0,-1e+30,1e+30
"255",0,-1e+30,1e+30
"256",0,-1e+30,1e+30
"257",0,-1e+30,1e+30
"258",0,-1e+30,1e+30
"259",0,-1e+30,1e+30
"260",0,-1e+30,1e+30
"261",0,-1e+30,1e+30
"262",0,-1e+30,1e+30
"263",0,-1e+30,1e+30
"264",0,-1e+30,1e+30
"265",0,-1e+30,1e+30
"266",0,-1e+30,1e+30
"267",0,-1e+30,1e+30
"268",0,-1e+30,1e+30
"269",0,-1e+30,1e+30
"270",0,-1e+30,1e+30
"271",0,-1e+30,1e+30
"272",0,-1e+30,1e+30
"273",0,-1e+30,1e+30
"274",0,-1e+30,1e+30
"275",0,-1e+30,1e+30
"276",0,-1e+30,1e+30
"277",0,-1e+30,1e+30
"278",0,-1e+30,1e+30
"279",0,-1e+30,1e+30
"280",0,-1e+30,1e+30
"281",0,-1e+30,1e+30
"282",0,-1e+30,1e+30
"283",0,-1e+30,1e+30
"284",0,-1e+30,1e+30
"285",0,-1e+30,1e+30
"286",0,-1e+30,1e+30
"287",0,-1e+30,1e+30
"288",0,-1e+30,1e+30
"289",0,-1e+30,1e+30
"290",0,-1e+30,1e+30
"291",0,-1e+30,1e+30
"292",0,-1e+30,1e+30
"293",0,-1e+30,1e+30
"294",0,-1e+30,1e+30
"295",0,-1e+30,1e+30
"296",0,-1e+30,1e+30
"297",0,-1e+30,1e+30
"298",0,-1e+30,1e+30
"299",0,-1e+30,1e+30
"300",0,-1e+30,1e+30
"301",0,-1e+30,1e+30
"302",0,-1e+30,1e+30
"303",0,-1e+30,1e+30
"304",0,-1e+30,1e+30
"305",0,-1e+30,1e+30
"306",0,-1e+30,1e+30
"307",0,-1e+30,1e+30
"308",0,-1e+30,1e+30
"309",0,-1e+30,1e+30
"310",0,-1e+30,1e+30
"311",0,-1e+30,1e+30
"312",0,-1e+30,1e+30
"313",0,-1e+30,1e+30
"314",0,-1e+30,1e+30
"315",0,-1e+30,1e+30
"316",0,-1e+30,1e+30
"317",1.85563885155774,0,61651.2210690887
"318",0,-1e+30,1e+30
"319",1.91680256566891,0,61689.6569924485
"320",1.75681142333538,0,61574.4927292392
"321",0.842028283445328,0,60929.93215264
"322",1.81797513744656,0,61612.8330111379
"323",1.90900256566889,0,61689.6569924485
"324",1.73464770922421,0,61536.2001342583
"325",0.954100855222974,0,60854.9875866466
"326",1.78021142333539,0,61574.4927292392
"327",1.89340256566892,0,61689.6569924485
"328",1.80371142333538,0,61574.4927292392
"329",1.21056456933415,0,60892.4368097769
"330",1.82711142333537,0,61574.4927292392
"331",1.02206371411118,0,60483.0133348945
"332",0.0753974343310863,0,59251.622644244
"333",1.87913885155773,0,61651.2210690887
"334",1.5112557116677,0,61005.0615387715
"335",1.85051142333538,0,61574.4927292392
"336",1.87913885155773,0,61651.2210690887
"337",1.86487513744657,0,61612.8330111379
"338",1.68818313989006,0,61080.3764295602
"339",3.60147087072694,0,64306.8608440991
"340",3.7690851302923,0,64427.1355214884
"341",3.71841371043713,0,64386.9940040295
"342",2.86081383246565,0,63830.2195036858
"343",1.8670568552186,0,63089.8201321534
"344",0,-1e+30,1e+30
"345",3.70281371043714,0,64386.9940040295
"346",3.19619951188606,0,63988.3129266051
"347",3.53519945087183,0,64266.869015216
"348",3.65591371043715,0,64386.9940040295
"349",3.25869951188607,0,63988.3129266051
"350",3.55467087072695,0,64306.8608440991
"351",3.58184229058204,0,64346.902476007
"352",3.30559951188608,0,63988.3129266051
"353",3.57027087072694,0,64306.8608440991
"354",2.88214253463901,0,63244.2627762958
"355",3.58561371043715,0,64386.9940040295
"356",3.55467087072695,0,64306.8608440991
"357",3.32548525232074,0,63869.6695775447
"358",3.52739945087184,0,64266.869015216
"359",1.83142301761364,0,77699.9154556467
"360",1.70261934544608,0,77603.2737697566
"361",0.714893640273077,0,76933.4551305601
"362",1.75142118152986,0,77651.5645437265
"363",1.80802301761363,0,77699.9154556467
"364",1.74352118152985,0,77651.5645437265
"365",0.888595476356867,0,76980.9156210787
"366",1.67131934544609,0,77603.2737697566
"367",0.562782623770357,0,76649.9165981379
"368",1.76112301761363,0,77699.9154556467
"369",0.933593640273071,0,76933.4551305601
"370",1.66351934544608,0,77603.2737697566
"371",1.70642301761363,0,77699.9154556467
"372",1.67322118152986,0,77651.5645437265
"373",1.0566918041893,0,76886.0531249344
"374",1.68302301761366,0,77699.9154556467
"375",1.68492485369745,0,77748.3266179243
"376",1.67512301761365,0,77699.9154556467
"377",1.19329547635687,0,76980.9156210787
