"","q4.sol.sens.coef.from","q4.sol.sens.coef.to"
"1",98.1677611484423,1e+30
"2",88.5426764412,100.19890754491
"3",98.1065974343311,1e+30
"4",98.2900885766646,1e+30
"5",99.3298717165547,1e+30
"6",98.2289248625534,1e+30
"7",98.1065974343311,1e+30
"8",98.3512522907758,1e+30
"9",99.452199144777,1e+30
"10",98.2900885766646,1e+30
"11",98.1065974343311,1e+30
"12",98.2900885766646,1e+30
"13",99.3910354306659,1e+30
"14",98.2900885766646,1e+30
"15",100.063836285889,1e+30
"16",102.143402565669,1e+30
"17",98.1677611484423,1e+30
"18",99.2075442883323,1e+30
"19",98.2900885766646,1e+30
"20",98.1677611484423,1e+30
"21",98.2289248625534,1e+30
"22",99.08521686011,1e+30
"23",96.5391291292731,1e+30
"24",96.1762148697077,1e+30
"25",96.2971862895628,1e+30
"26",97.9907861675344,1e+30
"27",100.289243144781,1e+30
"28",92.9607638399023,106.185971553767
"29",96.2971862895628,1e+30
"30",97.5069004881139,1e+30
"31",96.6601005491282,1e+30
"32",96.2971862895628,1e+30
"33",97.5069004881139,1e+30
"34",96.5391291292731,1e+30
"35",96.418157709418,1e+30
"36",97.5069004881139,1e+30
"37",96.5391291292731,1e+30
"38",99.805357465361,1e+30
"39",96.2971862895628,1e+30
"40",96.5391291292731,1e+30
"41",97.8698147476792,1e+30
"42",96.6601005491281,1e+30
"43",98.0982769823864,1e+30
"44",98.4614806545539,1e+30
"45",101.003906359727,1e+30
"46",98.2798788184701,1e+30
"47",98.0982769823864,1e+30
"48",98.2798788184701,1e+30
"49",100.822304523643,1e+30
"50",98.4614806545539,1e+30
"51",102.09351737623,1e+30
"52",98.0982769823864,1e+30
"53",101.003906359727,1e+30
"54",98.4614806545539,1e+30
"55",98.0982769823864,1e+30
"56",98.2798788184701,1e+30
"57",101.185508195811,1e+30
"58",98.0982769823864,1e+30
"59",97.9166751463026,1e+30
"60",98.0982769823864,1e+30
"61",100.822304523643,1e+30
"62",98.4614806545539,1e+30
"63",102.638322884481,1e+30
"64",99.426068069326,110.843938654526
"65",98.2798788184701,1e+30
"66",98.4614806545539,1e+30
"67",100.459100851476,1e+30
"68",98.6430824906377,1e+30
"69",97.7509136793171,1e+30
"70",99.2025542453484,1e+30
"71",101.138075000057,1e+30
"72",98.2347938679942,1e+30
"73",97.9928537736556,1e+30
"74",99.2025542453484,1e+30
"75",100.896134905718,1e+30
"76",98.4767339623327,1e+30
"77",104.283296226458,1e+30
"78",97.9928537736556,1e+30
"79",99.4444943396869,1e+30
"80",98.4767339623327,1e+30
"81",97.9928537736556,1e+30
"82",99.2025542453484,1e+30
"83",98.2347938679942,1e+30
"84",97.9928537736556,1e+30
"85",98.9606141510098,1e+30
"86",99.928374528364,1e+30
"87",98.9606141510098,1e+30
"88",103.799416037781,1e+30
"89",41.06136428938,114.214982297403
"90",98.4767339623327,1e+30
"91",98.9606141510098,1e+30
"92",99.2025542453484,1e+30
"93",98.9606141510098,1e+30
"94",97.152391856707,1e+30
"95",97.4531723180725,1e+30
"96",97.7539527794379,1e+30
"97",96.8516113953415,1e+30
"98",96.8516113953415,1e+30
"99",97.152391856707,1e+30
"100",97.7539527794379,1e+30
"101",95.9492700112452,1e+30
"102",100.761757393093,1e+30
"103",40.6379166790113,117.813894695526
"104",97.4531723180725,1e+30
"105",97.7539527794379,1e+30
"106",96.5508309339761,1e+30
"107",97.7539527794379,1e+30
"108",98.0547332408034,1e+30
"109",96.2500504726106,1e+30
"110",97.152391856707,1e+30
"111",98.0547332408034,1e+30
"112",96.2500504726106,1e+30
"113",101.664098777189,1e+30
"114",96.8516113953415,1e+30
"115",97.7539527794379,1e+30
"116",96.2500504726106,1e+30
"117",96.2326767107929,1e+30
"118",98.0283278765128,1e+30
"119",95.5144162445049,1e+30
"120",95.8735464776489,1e+30
"121",98.0283278765128,1e+30
"122",95.5144162445049,1e+30
"123",103.774411606817,1e+30
"124",45.0218712067134,118.522731783088
"125",96.2326767107929,1e+30
"126",98.0283278765128,1e+30
"127",95.8735464776489,1e+30
"128",96.2326767107929,1e+30
"129",98.3874581096568,1e+30
"130",96.2326767107929,1e+30
"131",96.9509371770809,1e+30
"132",97.6691976433688,1e+30
"133",96.2326767107929,1e+30
"134",103.056151140529,1e+30
"135",96.2326767107929,1e+30
"136",97.6691976433688,1e+30
"137",97.3100674102248,1e+30
"138",96.0937011338177,1e+30
"139",97.7610773281351,1e+30
"140",96.9273892309764,1e+30
"141",96.5105451823971,1e+30
"142",96.9273892309764,1e+30
"143",104.430582105405,1e+30
"144",50.3619937660199,121.94610278679
"145",96.5105451823971,1e+30
"146",96.9273892309764,1e+30
"147",96.0937011338177,1e+30
"148",96.9273892309764,1e+30
"149",96.0937011338177,1e+30
"150",96.9273892309764,1e+30
"151",104.013738056826,1e+30
"152",121.521188097159,1e+30
"153",96.9273892309764,1e+30
"154",97.3442332795558,1e+30
"155",97.260021299139,1e+30
"156",98.2075854640815,1e+30
"157",97.260021299139,1e+30
"158",98.6813675465527,1e+30
"159",101.050277958909,1e+30
"160",56.8070808307145,126.604240844307
"161",96.3124571341965,1e+30
"162",99.155149629024,1e+30
"163",96.3124571341965,1e+30
"164",98.6813675465528,1e+30
"165",96.3124571341965,1e+30
"166",97.7338033816103,1e+30
"167",101.050277958909,1e+30
"168",97.260021299139,1e+30
"169",98.6813675465527,1e+30
"170",97.6086153543322,1e+30
"171",100.259358685523,1e+30
"172",96.0181693556178,1e+30
"173",99.1990613530466,1e+30
"174",105.560845347904,1e+30
